id,title,year,abstract,cited_by_count
https://openalex.org/W2128248134,Closing the gap in a generation: health equity through action on the social determinants of health,2008,,7859
https://openalex.org/W4233420185,Corporate Governance and Equity Prices,2003,"Shareholder rights vary across firms. Using the incidence of 24 governance rules, we construct a ""Governance Index"" to proxy for the level of shareholder rights at about 1500 large firms during the 1990s. An investment strategy that bought firms in the lowest decile of the index (strongest rights) and sold firms in the highest decile of the index (weakest rights) would have earned abnormal returns of 8.5 percent per year during the sample period. We find that firms with stronger shareholder rights had higher firm value, higher profits, higher sales growth, lower capital expenditures, and made fewer corporate acquisitions.",5899
https://openalex.org/W3123323948,Women in the boardroom and their impact on governance and performance☆,2009,,5586
https://openalex.org/W2135410596,"ERC: A Theory of Equity, Reciprocity, and Competition",2000,"We demonstrate that a simple model, constructed on the premise that people are motivated by both their pecuniary payoff and their relative payoff standing, organizes a large and seemingly disparate set of laboratory observations as one consistent pattern. The model is incomplete information but nevertheless posed entirely in terms of directly observable variables. The model explains observations from games where equity is thought to be a factor, such as ultimatum and dictator, games where reciprocity is thought to play a role, such as the prisoner's dilemma and gift exchange, and games where competitive behavior is observed, such as Bertrand markets. (JEL C78, C90, D63, D64, H41)",5524
https://openalex.org/W2111558694,Founding‐Family Ownership and Firm Performance: Evidence from the S&amp;P 500,2003,"Abstract We investigate the relation between founding‐family ownership and firm performance. We find that family ownership is both prevalent and substantial; families are present in one‐third of the S&amp;P 500 and account for 18 percent of outstanding equity. Contrary to our conjecture, we find family firms perform better than nonfamily firms. Additional analysis reveals that the relation between family holdings and firm performance is nonlinear and that when family members serve as CEO, performance is better than with outside CEOs. Overall, our results are inconsistent with the hypothesis that minority shareholders are adversely affected by family ownership, suggesting that family ownership is an effective organizational structure.",5139
https://openalex.org/W2604748569,Structural racism and health inequities in the USA: evidence and interventions,2017,,5081
https://openalex.org/W2144570112,A Comprehensive Look at The Empirical Performance of Equity Premium Prediction,2007,"Given the historically high equity premium, is it now a good time to invest in the stock market? Economists have suggested a whole range of variables that investors could or should use to predict: dividend price ratios, dividend yields, earnings-price ratios, dividend payout ratios, net issuing ratios, book-market ratios, interest rates (in various guises), and consumptionbased macroeconomic ratios (cay). The typical paper reports that the variable predicted well in an in-sample regression, implying forecasting ability. Our paper explores the out-of-sample performance of these variables, and finds that not a single one would have helped a real-world investor outpredicting the then-prevailing historical equity premium mean. Most would have outright hurt. Therefore, we find that, for all practical purposes, the equity premium has not been predictable, and any belief about whether the stock market is now too high or too low has to be based on theoretical prior, not on the empirically variables we have explored.",4129
https://openalex.org/W2168682319,Stakeholder participation for environmental management: A literature review,2008,,4105
https://openalex.org/W2161663387,Beyond the business case for corporate sustainability,2002,"Abstract The article is intended as a contribution to the ongoing conceptual development of corporate sustainability. At the business level sustainability is often equated with eco‐efficiency. However, such a reduction misses several important criteria that firms have to satisfy if they want to become truly sustainable. This article discusses how the concept of sustainable development has evolved over the past three decades and particularly how it can be applied to the business level. It then goes on to describe the three types of capital relevant within the concept of corporate sustainability: economic, natural and social capital. From this basis we shall then develop the six criteria managers aiming for corporate sustainability will have to satisfy: eco‐efficiency, socio‐efficiency, eco‐effectiveness, socio‐effectiveness, sufficiency and ecological equity. The article ends with a brief outlook towards future research. Copyright © 2002 John Wiley &amp; Sons, Ltd. and ERP Environment",3962
https://openalex.org/W3122389139,Voluntary Nonfinancial Disclosure and the Cost of Equity Capital: The Initiation of Corporate Social Responsibility Reporting,2010,"ABSTRACT: We examine a potential benefit associated with the initiation of voluntary disclosure of corporate social responsibility (CSR) activities: a reduction in firms’ cost of equity capital. We find that firms with a high cost of equity capital in the previous year tend to initiate disclosure of CSR activities in the current year and that initiating firms with superior social responsibility performance enjoy a subsequent reduction in the cost of equity capital. Further, initiating firms with superior social responsibility performance attract dedicated institutional investors and analyst coverage. Moreover, these analysts achieve lower absolute forecast errors and dispersion. Finally, we find that firms exploit the benefit of a lower cost of equity capital associated with the initiation of CSR disclosure. Initiating firms are more likely than non-initiating firms to raise equity capital following the initiations; among firms raising equity capital, initiating firms raise a significantly larger amount than do non-initiating firms.",3923
https://openalex.org/W3123502919,CEO Overconfidence and Corporate Investment,2005,"ABSTRACT We argue that managerial overconfidence can account for corporate investment distortions. Overconfident managers overestimate the returns to their investment projects and view external funds as unduly costly. Thus, they overinvest when they have abundant internal funds, but curtail investment when they require external financing. We test the overconfidence hypothesis, using panel data on personal portfolio and corporate investment decisions of Forbes 500 CEOs. We classify CEOs as overconfident if they persistently fail to reduce their personal exposure to company‐specific risk. We find that investment of overconfident CEOs is significantly more responsive to cash flow, particularly in equity‐dependent firms.",3732
https://openalex.org/W3124450204,Market Timing and Capital Structure,2002,"ABSTRACT It is well known that firms are more likely to issue equity when their market values are high, relative to book and past market values, and to repurchase equity when their market values are low. We document that the resulting effects on capital structure are very persistent. As a consequence, current capital structure is strongly related to historical market values. The results suggest the theory that capital structure is the cumulative outcome of past attempts to time the equity market.",3623
https://openalex.org/W3122220309,Does corporate social responsibility affect the cost of capital?,2011,,3308
https://openalex.org/W2163969674,Optimal Versus Naive Diversification: How Inefficient is the 1/<i>N</i>Portfolio Strategy?,2007,"We evaluate the out-of-sample performance of the sample-based mean-variance model, and its extensions designed to reduce estimation error, relative to the naive 1-N portfolio. Of the 14 models we evaluate across seven empirical datasets, none is consistently better than the 1-N rule in terms of Sharpe ratio, certainty-equivalent return, or turnover, which indicates that, out of sample, the gain from optimal diversification is more than offset by estimation error. Based on parameters calibrated to the US equity market, our analytical results and simulations show that the estimation window needed for the sample-based mean-variance strategy and its extensions to outperform the 1-N benchmark is around 3000 months for a portfolio with 25 assets and about 6000 months for a portfolio with 50 assets. This suggests that there are still many ""miles to go"" before the gains promised by optimal portfolio choice can actually be realized out of sample. The Author 2007. Published by Oxford University Press on behalf of The Society for Financial Studies. All rights reserved. For Permissions, please email: journals.permissions@oxfordjournals.org, Oxford University Press.",3205
https://openalex.org/W2076035820,The market pricing of accruals quality,2005,,3170
https://openalex.org/W2059087733,Successful adaptation to climate change across scales,2005,,3085
https://openalex.org/W3122186884,"Measuring Financial Asset Return and Volatility Spillovers, with Application to Global Equity Markets",2008,"We provide a simple and intuitive measure of interdependence of asset returns and/or volatilities. In particular, we formulate and examine precise and separate measures of return spillovers and volatility spillovers. Our framework facilitates study of both non‐crisis and crisis episodes, including trends and bursts in spillovers; both turn out to be empirically important. In particular, in an analysis of 19 global equity markets from the early 1990s to the present, we find striking evidence of divergent behaviour in the dynamics of return spillovers vs. volatility spillovers: return spillovers display a gently increasing trend but no bursts, whereas volatility spillovers display no trend but clear bursts.",3002
https://openalex.org/W2161246478,Developing and validating a multidimensional consumer-based brand equity scale,2001,,2936
https://openalex.org/W3125677029,Real and Accrual-Based Earnings Management in the Pre- and Post-Sarbanes-Oxley Periods,2008,"We document that accrual-based earnings management increased steadily from 1987 until the passage of the Sarbanes-Oxley Act (SOX) in 2002, followed by a significant decline after the passage of SOX. Conversely, the level of real earnings management activities declined prior to SOX and increased significantly after the passage of SOX, suggesting that firms switched from accrual-based to real earnings management methods after the passage of SOX. We also document that the accrual-based earnings management activities were particularly high in the period immediately preceding SOX. Consistent with these results, we find that firms that just achieved important earnings benchmarks used less accruals and more real earnings management after SOX when compared to similar firms before SOX. In addition, our analysis provides evidence that the increases in accrual-based earnings management in the period preceding SOX were concurrent with increases in equity-based compensation. Our results suggest that stock-option components provide a differential set of incentives with regard to accrual-based earnings management. We document that while new options granted during the current period are negatively associated with income-increasing accrual-based earnings management, unexercised options are positively associated with income-increasing accrual-based earnings management.",2870
https://openalex.org/W2141998888,Teacher Quality and Student Achievement: A Review of State Policy Evidence,2000,"Using data from a 50-state survey of policies, state case study analyses, the 1993-94 Schools and Staffing Surveys (SASS), and the National Assessment of Educational Progress (NAEP), this study examines the ways in which teacher qualifications and other school inputs are related to student achievement across states. The findings of both the qualitative and quantitative analyses suggest that policy investments in the quality of teachers may be related to improvements in student performance. ...",2814
https://openalex.org/W2906323621,The Importance of Climate Risks for Institutional Investors,2019,"Abstract According to our survey about climate risk perceptions, institutional investors believe climate risks have financial implications for their portfolio firms and that these risks, particularly regulatory risks, already have begun to materialize. Many of the investors, especially the long-term, larger, and ESG-oriented ones, consider risk management and engagement, rather than divestment, to be the better approach for addressing climate risks. Although surveyed investors believe that some equity valuations do not fully reflect climate risks, their perceived overvaluations are not large.",2682
https://openalex.org/W3121545263,Crowdfunding: Tapping the right crowd,2013,,2651
https://openalex.org/W3123683947,"What matters for financial development? Capital controls, institutions, and interactions",2005,,2610
https://openalex.org/W2165714389,Extreme Correlation of International Equity Markets,2001,"ABSTRACT Testing the hypothesis that international equity market correlation increases in volatile times is a difficult exercise and misleading results have often been reported in the past because of a spurious relationship between correlation and volatility. Using “extreme value theory” to model the multivariate distribution tails, we derive the distribution of extreme correlation for a wide class of return distributions. Empirically, we reject the null hypothesis of multivariate normality for the negative tail, but not for the positive tail. We also find that correlation is not related to market volatility per se but to the market trend. Correlation increases in bear markets, but not in bull markets.",2584
https://openalex.org/W3123435704,Conservatism in Accounting Part I: Explanations and Implications,2003,"This paper is the first in a two-part series on conservatism in accounting. Part I examines alternative explanations for conservatism in accounting and their implications for accounting regulators. Part II summarizes the empirical evidence on conservatism, its consistency with alternative explanations, and opportunities for future research. The evidence is consistent with conservatism's existence and, in varying degrees, the various explanations. Conservatism is defined as the differential verifiability required for recognition of profits versus losses. Its extreme form is the traditional conservatism adage: “anticipate no profit, but anticipate all losses.” Despite criticism, conservatism has survived in accounting for many centuries and appears to have increased in the last 30 years. The alternative explanations for conservatism are contracting, shareholder litigation, taxation, and accounting regulation. The evidence in Part II suggests the contracting and shareholder litigation explanations are most important. Evidence on the effects of taxation and regulation is weaker, but consistent with those explanations playing a role. Earnings management could produce some of the evidence on conservatism, but cannot be the prime explanation. The explanations and evidence have important implications for accounting regulators. FASB attempts to ban conservatism in order to achieve “neutrality of information” without understanding the reasons conservatism existed and prospered for so long are likely to fail and produce unintended consequences. Successful elimination of conservatism will change managerial behavior and impose significant costs on investors and the economy in general. Similarly, researchers and regulators who propose the inclusion of capitalized unverifiable future cash flows in financial reports should consider the costs generated by their proposal's effect on managerial behavior.",2536
https://openalex.org/W3124871904,Testing the pecking order theory of capital structure,2002,,2534
https://openalex.org/W2007946665,Agency Costs and Ownership Structure,2000,"We provide measures of absolute and relative equity agency costs for corporations under different ownership and management structures. Our base case is Jensen and Meckling's (1976) zero agency‐cost firm, where the manager is the firm's sole shareholder. We utilize a sample of 1,708 small corporations from the FRB/NSSBF database and find that agency costs (i) are significantly higher when an outsider rather than an insider manages the firm; (ii) are inversely related to the manager's ownership share; (iii) increase with the number of nonmanager shareholders, and (iv) to a lesser extent, are lower with greater monitoring by banks.",2484
https://openalex.org/W3124949184,"The external wealth of nations mark II: Revised and extended estimates of foreign assets and liabilities, 1970–2004",2007,,2460
https://openalex.org/W2071892020,Costs of Equity and Earnings Attributes,2004,"We examine the relation between the cost of equity capital and seven attributes of earnings: accrual quality, persistence, predictability, smoothness, value relevance, timeliness, and conservatism. We characterize the first four attributes as accounting-based because they are typically measured using accounting information only. We characterize the last three attributes as market-based because proxies for these constructs are typically based on relations between market data and accounting data. Based on theoretical models predicting a positive association between information quality and cost of equity, we test for and find that firms with the least favorable values of each attribute, considered individually, generally experience larger costs of equity than firms with the most favorable values. The largest cost of equity effects are observed for the accounting-based attributes, in particular, accrual quality. These findings are robust to controls for innate determinants of the earnings attributes (firm size, cash flow and sales volatility, incidence of loss, operating cycle, intangibles use/intensity, and capital intensity), as well as to alternative proxies for the cost of equity capital.",2453
https://openalex.org/W2165100677,What Explains the Stock Market's Reaction to Federal Reserve Policy?,2005,"ABSTRACT This paper analyzes the impact of changes in monetary policy on equity prices, with the objectives of both measuring the average reaction of the stock market and understanding the economic sources of that reaction. We find that, on average, a hypothetical unanticipated 25‐basis‐point cut in the Federal funds rate target is associated with about a 1% increase in broad stock indexes. Adapting a methodology due to Campbell and Ammer, we find that the effects of unanticipated monetary policy actions on expected excess returns account for the largest part of the response of stock prices.",2414
https://openalex.org/W1548975717,Closing the gap in a generation: health equity through action on the social determinants of health,2009,". Marmot M. , Friel S. , Bell R. , Houweling T. A. J. &amp; Taylor S. on behalf of ( 2008 ) , 372 , 1661 – 1669 . DOI: 10.1016/S0140‐6736(08)61690‐6 . The Commission on Social Determinants of Health, created to marshal the evidence on what can be done to promote health equity and to foster a global movement to achieve it, is a global collaboration of policymakers, researchers and civil society, led by commissioners with a unique blend of political, academic and advocacy experience. The focus of attention is on countries at all levels of income and development. The commission launched its final report on 28 August 2008. This paper summarizes the key findings and recommendations; the full list is in the final report. The overarching recommendations are: Improve daily living conditions Improve the well‐being of girls and women and the circumstances in which their children are born, put major emphasis on early child development and education for girls and boys, improve living and working conditions and create social protection policy supportive of all, and create conditions for a flourishing older life. Policies to achieve these goals will involve civil society, governments and global institutions. Tackle the inequitable distribution of power, money and resources To address health inequities and inequitable conditions of daily living, it is necessary to address inequities – such as those between men and women – in the way society is organized. A strong, committed, capable and adequately financed public sector is needed. To achieve that requires more than strengthened government – it requires strengthened governance: legitimacy, space and support for civil society, for an accountable private sector, and for people across society to agree public interests and reinvest in the value of collective action. In a globalized world, the need for governance dedicated to equity applies equally from the community level to global institutions. Measure and understand the problem and assess the results of action Acknowledging that there is a problem and ensuring that health inequity is measured – within countries and globally – are essential for action. National governments and international organizations, supported by World Health Organization, should set up national and global health‐equity surveillance systems for routine monitoring of health inequity and the social determinants of health and should asses the health‐equity impact of policy and action. Creating the organizational space and capacity to act effectively on health inequity requires investment in training of policymakers and health practitioners, public understanding of social determinants of health, and a stronger focus on social determinants in public health research.",2400
https://openalex.org/W2240968826,Rare Disasters and Asset Markets in the Twentieth Century*,2006,"The potential for rare economic disasters explains a lot of asset-pricing puzzles. I calibrate disaster probabilities from the twentieth century global history, especially the sharp contractions associated with World War I, the Great Depression, and World War II. The puzzles that can be explained include the high equity premium, low risk-free rate, and volatile stock returns. Another mystery that may be resolved is why expected real interest rates were low in the United States during major wars, such as World War II. The model, an extension of work by Rietz, maintains the tractable framework of a representative agent, time-additive and isoelastic preferences, and complete markets. The results hold with i.i.d. shocks to productivity growth in a Lucas-tree type economy and also with the inclusion of capital formation.",2389
https://openalex.org/W3123227524,Accrual-based and real earnings management activities around seasoned equity offerings,2010,,2356
https://openalex.org/W1963787328,The distribution of realized stock return volatility,2001,,2355
https://openalex.org/W3123062155,Payout policy in the 21st century,2005,,2312
https://openalex.org/W1993987322,"Value Maximisation, Stakeholder Theory, and the Corporate Objective Function",2001,"This paper examines the role of the corporate objective function in corporate productivity and efficiency, social welfare, and the accountability of managers and directors. I argue that since it is logically impossible to maximise in more than one dimension, purposeful behaviour requires a single valued objective function. Two hundred years of work in economics and finance implies that in the absence of externalities and monopoly (and when all goods are priced), social welfare is maximised when each firm in an economy maximises its total market value. Total value is not just the value of the equity but also includes the market values of all other financial claims including debt, preferred stock, and warrants. In sharp contrast stakeholder theory, argues that managers should make decisions so as to take account of the interests of all stakeholders in a firm (including not only financial claimants, but also employees, customers, communities, governmental officials and under some interpretations the environment, terrorists and blackmailers). Because the advocates of stakeholder theory refuse to specify how to make the necessary tradeoffs among these competing interests they leave managers with a theory that makes it impossible for them to make purposeful decisions. With no way to keep score, stakeholder theory makes managers unaccountable for their actions. It seems clear that such a theory can be attractive to the self interest of managers and directors. Creating value takes more than acceptance of value maximisation as the organisational objective. As a statement of corporate purpose or vision, value maximisation is not likely to tap into the energy and enthusiasm of employees and managers to create value. Seen in this light, change in long‐term market value becomes the scorecard that managers, directors, and others use to assess success or failure of the organisation. The choice of value maximisation as the corporate scorecard must be complemented by a corporate vision, strategy and tactics that unite participants in the organisation in its struggle for dominance in its competitive arena. A firm cannot maximise value if it ignores the interest of its stakeholders. I offer a proposal to clarify what I believe is the proper relation between value maximisation and stakeholder theory. I call it enlightened value maximisation, and it is identical to what I call enlightened stakeholder theory. Enlightened value maximisation utilises much of the structure of stakeholder theory but accepts maximisation of the long run value of the firm as the criterion for making the requisite tradeoffs among its stakeholders. Managers, directors, strategists, and management scientists can benefit from enlightened stakeholder theory. Enlightened stakeholder theory specifies long‐term value maximisation or value seeking as the firm’s objective and therefore solves the problems that arise from the multiple objectives that accompany traditional stakeholder theory. I also discuss the Balanced Scorecard, the managerial equivalent of stakeholder theory. The same conclusions hold. Balanced Scorecard theory is flawed because it presents managers with a scorecard which gives no score—that is, no single‐valued measure of how they have performed. Thus managers evaluated with such a system (which can easily have two dozen measures and provides no information on the tradeoffs between them) have no way to make principled or purposeful decisions. The solution is to define a true (single dimensional) score for measuring performance for the organisation or division (and it must be consistent with the organisation’s strategy). Given this we then encourage managers to use measures of the drivers of performance to understand better how to maximise their score. And as long as their score is defined properly, (and for lower levels in the organisation it will generally not be value) this will enhance their contribution to the firm.",2292
