text,case,court,date,query
"motion for return of property, equitable remedy, . R.C. 2981.11(A)",State v. N.C.,Ohio Court of Appeals,2024-11-27,equitable remedy
arbitration actual direct costs equitable remedy manifest disregard of the law,"R.E.M. Constr., Inc. v. Cleveland Constr.",Court of Appeals of North Carolina,2022-08-16,equitable remedy
CIVIL – summary judgment; Civ.R. 56; de novo review; oil and gas case; lease; bonus money; disgorgement; equitable remedy; no wrongdoing; unjust enrichment; Dormant Mineral Act; R.C. 5301.56(B)(3) and (H)(1); judgments affirmed.,"Kocher v. Ascent Resources-Utica, L.L.C.",Ohio Court of Appeals,2025-04-10,equitable remedy
"Statute of frauds, deed, will parol evidence, Equitable remedy, Contract",Barrett v. Coston,Court of Appeals of North Carolina,2018-09-18,equitable remedy
CIVIL - summary judgment prescriptive easement equitable remedy affirmative defense impermissibly vague scope of easement future maintenance and repair of a prescriptive easement.,"Shiloh Ministries, Inc. v. Simco Exploration Corp.",Ohio Court of Appeals,2019-06-10,equitable remedy
Foreclosure - Note - Mortgage - payment increase - condition precedent - equitable remedy.,Bank of New York Mellon v. Chappell,Ohio Court of Appeals,2018-05-14,equitable remedy
Dawson v. United States (United States Court of Federal Claims),Dawson v. United States,United States Court of Federal Claims,2014-06-18,equitable remedy
Military pension division subject matter jurisdiction personal jurisdiction breach of separation agreement equitable remedy specific performance 10 USC 1408 NCGS 7A-244 unincorporated agreement forum selection clause.,Poindexter v. Everhart,Court of Appeals of North Carolina,2020-02-18,equitable remedy
bylaws – monthly assessments – condominium association – late fee – contract – magistrate decision – Civ.R. 53(D)(3)(b)(iii) – factual findings – lien – foreclosure – course of dealing – equitable remedy –,"Waterford Pointe Condominium Assn. v. Reserve Domiciles, Ltd.",Ohio Court of Appeals,2019-02-27,equitable remedy
Purchase agreement summary judgment deed reformation oil and gas lease mineral rights equitable remedy mutual mistake statute of limitations Dormant Mineral Act license,Schlabach v. Kondik,Ohio Court of Appeals,2017-09-29,equitable remedy
The trial court did not err in creating an equitable remedy to provide the parties relief in a declaratory judgment action regarding a lost trust agreement.,Brown v. Brown,Ohio Court of Appeals,2017-12-11,equitable remedy
"In a bench trial, the district court decides credibility issues, and we will not second-guess the district court on its credibility decisions. Indemnity is an equitable remedy that allows a party to recover reimbursement from another for the payment of a liability that, as between the two parties, should have been paid by the other.",Titan Machinery v. Kluver,North Dakota Supreme Court,2020-10-21,equitable remedy
Foreclosure note mortgage bankruptcy assignment. - Trial court did not err in granting a decree of foreclosure to the bank. Debtor's bankruptcy discharge of his personal obligation under the note did not preclude the bank from seeking an equitable remedy of foreclosure to satisfy the debt. The bank was properly assigned the mortgage through a corrective assignment despite the fact that the original lender was no longer in existence.,U.S. Bank Natl. Assn. v. Robinson,Ohio Court of Appeals,2020-01-09,equitable remedy
Bond v. United Equitable Insurance Group (Appellate Court of Illinois),Bond v. United Equitable Insurance Group,Appellate Court of Illinois,2022-05-17,equitable remedy
Marcus Huey v. Equitable Production Company (Court of Appeals for the Fourth Circuit),Marcus Huey v. Equitable Production Company,Court of Appeals for the Fourth Circuit,2022-03-01,equitable remedy
Contingency fee contract quantum merit contract interpretation conflicting terms of contract parol evidence sufficiency of evidence manifest weight of evidence equitable remedy. Attorney discharged from contingency fee contract had claim in quantum meruit against eventual settlement. Discharged attorney entered into representation agreement with client and then they entered into a contingency fee agreement. Discharged attorney testified as to the terms of the first representation agreement and t,Law Office of Craig T. Weintraub v. Bruner,Ohio Court of Appeals,2022-06-09,equitable remedy
Malcolm Wiener v. AXA Equitable Life Insurance Company (Court of Appeals for the Fourth Circuit),Malcolm Wiener v. AXA Equitable Life Insurance Company,Court of Appeals for the Fourth Circuit,2025-09-03,equitable remedy
"Elec. Frontier Found. v. Global Equity Mgmt. (SA) Pty Ltd. (District Court, N.D. California)",Elec. Frontier Found. v. Global Equity Mgmt. (SA) Pty Ltd.,"District Court, N.D. California",2017-11-17,equity jurisdiction
"CIV.R. 15 – JURISDICTION – FINAL ORDER —WAIVER : In a foreclosure case, where the previous trial judge had correctly allowed plaintiff to amend its complaint pursuant to Civ.R. 15, which is to be liberally construed, to add new claims and parties, including defendants, the subsequent trial judge erred in dismissing the amended complaint on the ground that the court had no jurisdiction to allow the amendment because final judgment had been entered the court's prior orders did not constitute final","WBCMT 2007-C33 Office 7870, L.L.C. v. Breakwater Equity Partners, L.L.C.",Ohio Court of Appeals,2019-09-27,equity jurisdiction
"Pars Equity Center v. Blinken (District Court, District of Columbia)",Pars Equity Center v. Blinken,"District Court, District of Columbia",2025-09-30,equity jurisdiction
Drabinsky v. Actors' Equity Association (Court of Appeals for the Second Circuit),Drabinsky v. Actors' Equity Association,Court of Appeals for the Second Circuit,2024-07-02,equity jurisdiction
"Hamilton Equity Group, LLC v. Benetatos (Appellate Division of the Supreme Court of the State of New York)","Hamilton Equity Group, LLC v. Benetatos",Appellate Division of the Supreme Court of the State of New York,2025-06-06,equity jurisdiction
"Jones v. Vintage Equity Group, LLC (District Court, District of Columbia)","Jones v. Vintage Equity Group, LLC","District Court, District of Columbia",2025-07-28,equity jurisdiction
Abuse of discretion Civ.R. 6(B) extension of time Loc.R. 8(C) stipulated extension breach of contract de novo Civ.R. 10(D)(1) agreement not attached to complaint Civ.R. 12(E) motion for more definite statement Civ.R. 12(B)(6) motion to dismiss matters outside complaint Civ.R. 56 convert motion to dismiss to motion for summary judgment. The trial court did not abuse its discretion in denying the appellant's request for extension of time to respond to the appellee's motion to dismiss after the app,Hecht v. Equity Trust Co.,Ohio Court of Appeals,2022-01-27,equity jurisdiction
"Elizarov v. Equity Experts LLC (District Court, E.D. Michigan)",Elizarov v. Equity Experts LLC,"District Court, E.D. Michigan",2018-05-09,equity jurisdiction
Insight Equity v. Wind Point Partners (Supreme Court of Delaware),Insight Equity v. Wind Point Partners,Supreme Court of Delaware,2020-09-25,equity jurisdiction
Equity Trust Co. v. Breland (Supreme Court of Alabama),Equity Trust Co. v. Breland,Supreme Court of Alabama,2017-02-17,equity jurisdiction
Sheldon Stone v. Citizens Equity First Credit Union (Court of Appeals for the Seventh Circuit),Sheldon Stone v. Citizens Equity First Credit Union,Court of Appeals for the Seventh Circuit,2024-06-03,equity jurisdiction
"Equity Ventures, LLC v. Cheaha Bank (Court of Civil Appeals of Alabama)","Equity Ventures, LLC v. Cheaha Bank",Court of Civil Appeals of Alabama,2018-07-20,equity jurisdiction
Equity Funding Inc v. Village of Milford (Michigan Court of Appeals),Equity Funding Inc v. Village of Milford,Michigan Court of Appeals,2022-07-21,equity jurisdiction
"Capital Equity Mgt., LLC v. Carrozza (Appellate Terms of the Supreme Court of New York)","Capital Equity Mgt., LLC v. Carrozza",Appellate Terms of the Supreme Court of New York,2019-11-22,equity jurisdiction
"Hamilton Equity Group, LLC v. Lumbrereas (Appellate Division of the Supreme Court of the State of New York)","Hamilton Equity Group, LLC v. Lumbrereas",Appellate Division of the Supreme Court of the State of New York,2021-02-05,equity jurisdiction
"Florida Homeowner Equity and Lost Property, LLC v. Fairchild (District Court of Appeal of Florida)","Florida Homeowner Equity and Lost Property, LLC v. Fairchild",District Court of Appeal of Florida,2025-08-29,equity jurisdiction
"Goellner-Grant v. Platinum Equity LLC (District Court, E.D. Missouri)",Goellner-Grant v. Platinum Equity LLC,"District Court, E.D. Missouri",2018-09-18,equity jurisdiction
Equity Trust Company v. Jones (Court of Appeals of Georgia),Equity Trust Company v. Jones,Court of Appeals of Georgia,2016-10-19,equity jurisdiction
Bentley v. Equity Trust (Ohio Court of Appeals),Bentley v. Equity Trust,Ohio Court of Appeals,2015-11-16,equity jurisdiction
Immunity political subdivision negligence governmental function proprietary design construction operation maintenance equitable relief injunction grant program joint venture. The trial court did not err by granting the NEORSD's motion to dismiss pursuant to Civ.R. 12(B)(6). Plaintiff can prove no set of facts entitling it to the relief requested. The political subdivision is immune from liability and has no authority to provide the plaintiff the equitable relief sought in the amended complaint.,Riveredge Dentistry Partnership v. Cleveland,Ohio Court of Appeals,2021-10-28,equitable relief injunction
Doe v. Catholic Relief Services (Court of Appeals of Maryland),Doe v. Catholic Relief Services,Court of Appeals of Maryland,2023-08-14,equitable relief injunction
"In Re Zyprexa Injunction (District Court, E.D. New York)",In Re Zyprexa Injunction,"District Court, E.D. New York",2007-02-13,equitable relief injunction
Wiener v. AXA Equitable Ins. Co. (Court of Appeals for the Second Circuit),Wiener v. AXA Equitable Ins. Co.,Court of Appeals for the Second Circuit,2024-08-21,equitable relief injunction
United Equitable Insurance Co. v. Thomas (Appellate Court of Illinois),United Equitable Insurance Co. v. Thomas,Appellate Court of Illinois,2021-11-22,equitable relief injunction
